organization,broad_org,state,type,medical_position,medicine_type,department,year,amount
national council on patient informatin and education,council on patient information and education,national,medical,patient advocacy,other,st. gov leg  aff,2012,84980
national council on patient informatin and education,council on patient information and education,national,medical,patient advocacy,other,st. gov leg  aff,2013,70667
national council on patient informatin and education,council on patient information and education,national,medical,patient advocacy,other,st. gov leg  aff,2014,8250
national family caregivers assn,family caregivers assn,national,other,,family,patient & professional relations,2014,200
national family caregivers assn,family caregivers assn,national,other,,family,patient & professional relations,2015,15000
national family caregivers assn,family caregivers assn,national,other,,family,public affairs,2009,15000
national family caregivers assn,family caregivers assn,national,other,,family,public affairs,2010,162.85
national family caregivers assn,family caregivers assn,national,other,,family,pur pharma fund,2003,15000
national family caregivers assn,family caregivers assn,national,other,,family,pur pharma fund,2004,5000
national family caregivers assn,family caregivers assn,national,other,,family,pur pharma fund,2011,2000
national family caregivers assn,family caregivers assn,national,other,,family,st. gov leg  aff,2008,7500
national family caregivers assn,family caregivers assn,national,other,,family,st. gov leg  aff,2009,3500
national family caregivers assn,family caregivers assn,national,other,,family,st. gov leg  aff,2010,15000
national family caregivers assn,family caregivers assn,national,other,,family,st. gov leg  aff,2011,15000
national family caregivers assn,family caregivers assn,national,other,,family,st. gov leg  aff,2012,2500
national family caregivers assn,family caregivers assn,national,other,,family,st. gov leg  aff,2013,20000
national family caregivers assn,family caregivers assn,national,other,,family,st. gov leg  aff,2014,15000
national fibromyalgia,fibromyalgia,national,other,,fibromyalgia,pur pharma fund,2002,2500
national fibromyalgia & chronic pain assn,NA,NA,NA,,NA,st. gov leg  aff,2012,14365
national fibromyalgia & chronic pain assn,NA,NA,NA,,NA,st. gov leg  aff,2013,7500
national fibromyalgia & chronic pain assn,NA,NA,NA,,NA,st. gov leg  aff,2014,30000
national fibromyalgia association,fibromyalgia association,national,other,,fibromyalgia,public affairs,2003,35
national fibromyalgia association,fibromyalgia association,national,other,,fibromyalgia,public affairs,2009,1000
national fibromyalgia association,fibromyalgia association,national,other,,fibromyalgia,pur pharma fund,2004,55000
national fibromyalgia association,fibromyalgia association,national,other,,fibromyalgia,pur pharma fund,2007,25000
national fibromyalgia association,fibromyalgia association,national,other,,fibromyalgia,pur pharma fund,2008,25000
national fibromyalgia association,fibromyalgia association,national,other,,fibromyalgia,pur pharma fund,2009,20910
national fibromyalgia association,fibromyalgia association,national,other,,fibromyalgia,st. gov leg  aff,2006,10000
national governors association centers for best practices,governors association centers for best practices,national,legislative,,other,st. gov leg  aff,2012,40000
national governors association centers for best practices,governors association centers for best practices,national,legislative,,other,st. gov leg  aff,2013,20000
national governors association centers for best practices,governors association centers for best practices,national,legislative,,other,st. gov leg  aff,2014,20000
national headache foundation,headache foundation,national,other,,headache,professional rels,2005,1000
national headache foundation,headache foundation,national,other,,headache,st. gov leg  aff,2006,1000
national headache foundation,headache foundation,national,other,,headache,st. gov leg  aff,2007,1000
national headache foundation,headache foundation,national,other,,headache,st. gov leg  aff,2008,1000
national headache foundation,headache foundation,national,other,,headache,st. gov leg  aff,2010,1000
national health council,health council,national,other,,other,analgesic,2010,50000
national health council,health council,national,other,,other,analgesic,2012,25000
national health council,health council,national,other,,other,st. gov leg  aff,2011,13200
national health council,health council,national,other,,other,st. gov leg  aff,2012,43100
national health council,health council,national,other,,other,st. gov leg  aff,2013,33100
national health council,health council,national,other,,other,st. gov leg  aff,2014,37200
national hospice & palliative care organization,hospice and palliative care,national,other,,hospice,conventions,2002,4200
national hospice & palliative care organization,hospice and palliative care,national,other,,hospice,conventions,2003,6850
national hospice & palliative care organization,hospice and palliative care,national,other,,hospice,conventions,2004,4000
national hospice & palliative care organization,hospice and palliative care,national,other,,hospice,fed gov affairs,2005,2000
national hospice & palliative care organization,hospice and palliative care,national,other,,hospice,fed gov affairs,2006,1000
national hospice & palliative care organization,hospice and palliative care,national,other,,hospice,fed gov affairs,2007,2000
national hospice & palliative care organization,hospice and palliative care,national,other,,hospice,fed gov affairs,2008,2000
national hospice & palliative care organization,hospice and palliative care,national,other,,hospice,fed gov affairs,2009,2000
national hospice & palliative care organization,hospice and palliative care,national,other,,hospice,medical ed,2002,30000
national hospice & palliative care organization,hospice and palliative care,national,other,,hospice,public affairs,2003,625
national hospice & palliative care organization,hospice and palliative care,national,other,,hospice,pur pharma fund,2003,1480
national hospice & palliative care organization,hospice and palliative care,national,other,,hospice,pur pharma fund,2005,1000
national hospice & palliative care organization,hospice and palliative care,national,other,,hospice,st. gov leg  aff,2007,650
