organization,broad_org,state,type,position,subtype,department,year,amount
iasp 2010 jpdl montreal,international association for the study of pain,none,medical,general,pain,conventions,2008,64988.33
iasp 2010 jpdl montreal,international association for the study of pain,none,medical,general,pain,conventions,2009,125060.38
iasp 2010 jpdl montreal,international association for the study of pain,none,medical,general,pain,discovery admin,2009,1573.96
interstitial cystitis association of america,interstitial cystitis association of america,none,medical,general,cystitis,medical ed,2009,10000
interstitial cystitis association of america,interstitial cystitis association of america,none,medical,general,cystitis,patient & professional relations,2014,10000
interstitial cystitis association of america,interstitial cystitis association of america,none,medical,general,cystitis,pur pharma fund,2002,5000
interstitial cystitis association of america,interstitial cystitis association of america,none,medical,general,cystitis,pur pharma fund,2003,5000
interstitial cystitis association of america,interstitial cystitis association of america,none,medical,general,cystitis,pur pharma fund,2004,5000
interstitial cystitis association of america,interstitial cystitis association of america,none,medical,general,cystitis,pur pharma fund,2010,30000
interstitial cystitis association of america,interstitial cystitis association of america,none,medical,general,cystitis,st. gov leg  aff,2010,22500
interstitial cystitis association of america,interstitial cystitis association of america,none,medical,general,cystitis,st. gov leg  aff,2012,35000
american society of pain management fl,society of pain management,florida,medical,general,pain,medical ed,2006,13500
american society of pain management fl,society of pain management,florida,medical,general,pain,medical ed,2007,8408
american society of pain management fl,society of pain management,florida,medical,general,pain,medical ed,2008,3500
american society of pain management fl,society of pain management,florida,medical,general,pain,medical ed,2009,13500
american society of pain management fl,society of pain management,florida,medical,general,pain,medical ed,2010,3500
american society of pain management fl,society of pain management,florida,medical,general,pain,medical ed,2011,8500
american society of pain management fl,society of pain management,florida,medical,general,pain,medical ed,2012,3500
american society of pain management fl,society of pain management,florida,medical,general,pain,medical ed,2013,3500
american society of pain management fl,society of pain management,florida,medical,general,pain,medical ed,2014,33500
american society of pain management fl,society of pain management,florida,medical,general,pain,other,2006,3500
american society of pain management fl,society of pain management,florida,medical,general,pain,patient & professional relations,2014,12700
american society of pain management fl,society of pain management,florida,medical,general,pain,patient & professional relations,2015,7500
american society of pain management fl,society of pain management,florida,medical,general,pain,prof relations,2003,1000
american society of pain management fl,society of pain management,florida,medical,general,pain,pur pharma fund,2008,25000
american society of pain management fl,society of pain management,florida,medical,general,pain,pur pharma fund,2010,50000
american society of pain management fl,society of pain management,florida,medical,general,pain,st. gov leg  aff,2003,95
american society of pain management fl,society of pain management,florida,medical,general,pain,st. gov leg  aff,2004,275
american society of pain management fl,society of pain management,florida,medical,general,pain,st. gov leg  aff,2006,1000
american society of pain management fl,society of pain management,florida,medical,general,pain,st. gov leg  aff,2007,10000
american society of pain management fl,society of pain management,florida,medical,general,pain,st. gov leg  aff,2008,5000
american society of pain management fl,society of pain management,florida,medical,general,pain,st. gov leg  aff,2009,9500
american society of pain management fl,society of pain management,florida,medical,general,pain,st. gov leg  aff,2010,9500
american society of pain management fl,society of pain management,florida,medical,general,pain,st. gov leg  aff,2011,12700
american society of pain management fl,society of pain management,florida,medical,general,pain,st. gov leg  aff,2012,12700
american society of pain management fl,society of pain management,florida,medical,general,pain,st. gov leg  aff,2013,77700
american society of pain management fl,society of pain management,florida,medical,general,pain,st. gov leg  aff,2014,7500
florida society of the american college of osteopathic f,society of the college of osteopathic,florida,medical,general,osteopathic,conventions,2014,1250
florida society of the american college of osteopathic f,society of the college of osteopathic,florida,medical,general,osteopathic,medical ed,2002,10000
florida society of the american college of osteopathic f,society of the college of osteopathic,florida,medical,general,osteopathic,medical ed,2003,3500
florida society of the american college of osteopathic f,society of the college of osteopathic,florida,medical,general,osteopathic,medical ed,2005,4000
florida society of the american college of osteopathic f,society of the college of osteopathic,florida,medical,general,osteopathic,medical ed,2006,1000
florida society of the american college of osteopathic f,society of the college of osteopathic,florida,medical,general,osteopathic,medical ed,2007,1000
florida society of the american college of osteopathic f,society of the college of osteopathic,florida,medical,general,osteopathic,medical ed,2009,5000
maine osteopathic association,osteopathic association,maine,medical,general,osteopathic,conventions,2003,700
maine osteopathic association,osteopathic association,maine,medical,general,osteopathic,conventions,2004,1500
maine osteopathic association,osteopathic association,maine,medical,general,osteopathic,conventions,2005,600
maine osteopathic association,osteopathic association,maine,medical,general,osteopathic,conventions,2013,920
maine osteopathic association,osteopathic association,maine,medical,general,osteopathic,conventions,2014,2760
maine osteopathic association,osteopathic association,maine,medical,general,osteopathic,lecture program,2002,1100
maine osteopathic association,osteopathic association,maine,medical,general,osteopathic,medical ed,2003,3000
